
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0339326_66, VPC-9, NULL
MGV-GENOME-0275995_26, VPC-656, Myoviridae
MGV-GENOME-0229851_28, VPC-656, NULL
MGV-GENOME-0210630_27, VPC-8, NULL
MGV-GENOME-0160263_2, VPC-307, NULL
MGV-GENOME-0330668_35, VPC-744, NULL
MGV-GENOME-0212812_35, VPC-59845, NULL
MGV-GENOME-0257060_42, VPC-5147, Siphoviridae
MGV-GENOME-0250979_20, VPC-69, Siphoviridae
MGV-GENOME-0175326_39, VPC-307, Siphoviridae
MGV-GENOME-0161760_22, VPC-8, Siphoviridae
MGV-GENOME-0345692_34, VPC-1589, NULL
MGV-GENOME-0177295_19, VPC-8, NULL
MGV-GENOME-0150259_2, VPC-8, NULL
MGV-GENOME-0157683_17, VPC-1219, NULL
MGV-GENOME-0332768_66, VPC-69, Siphoviridae
MGV-GENOME-0154146_5, VPC-1988, Siphoviridae
MGV-GENOME-0205529_12, VPC-8, NULL
MGV-GENOME-0182932_23, VPC-9, Siphoviridae
MGV-GENOME-0155773_17, VPC-3984, Siphoviridae
MGV-GENOME-0317787_42, VPC-656, Myoviridae
MGV-GENOME-0330841_2, VPC-9, NULL
MGV-GENOME-0272606_9, VPC-8, Siphoviridae
MGV-GENOME-0357083_105, VPC-69, Siphoviridae
MGV-GENOME-0267342_20, VPC-9, Siphoviridae
MGV-GENOME-0302847_36, VPC-9, Siphoviridae
MGV-GENOME-0147746_7, VPC-787, Siphoviridae
MGV-GENOME-0242852_32, VPC-358, Siphoviridae
MGV-GENOME-0333268_21, VPC-502, NULL
MGV-GENOME-0303117_34, VPC-9, NULL
MGV-GENOME-0318306_65, VPC-9, Siphoviridae
MGV-GENOME-0315246_36, VPC-744, Siphoviridae
MGV-GENOME-0200573_14, VPC-1219, NULL
MGV-GENOME-0253909_31, VPC-502, NULL
MGV-GENOME-0189023_5, VPC-885, NULL
MGV-GENOME-0146846_2, VPC-1219, Siphoviridae
MGV-GENOME-0210939_32, VPC-562, NULL
MGV-GENOME-0179316_9, VPC-9, NULL
MGV-GENOME-0211048_10, VPC-27, Myoviridae
MGV-GENOME-0172086_15, VPC-8, Siphoviridae
MGV-GENOME-0336542_36, VPC-656, NULL
MGV-GENOME-0225940_26, VPC-8, NULL
MGV-GENOME-0353243_101, VPC-9, NULL
MGV-GENOME-0326866_46, VPC-152, NULL
MGV-GENOME-0260475_35, VPC-1964, NULL
MGV-GENOME-0176515_1, VPC-27, Myoviridae
MGV-GENOME-0231744_42, VPC-9, NULL
MGV-GENOME-0284279_19, VPC-7371, NULL
MGV-GENOME-0232502_10, VPC-9, NULL
MGV-GENOME-0197997_22, VPC-287, NULL
MGV-GENOME-0277543_9, VPC-1964, Myoviridae
MGV-GENOME-0249014_29, VPC-268, NULL
MGV-GENOME-0138059_20, VPC-2734, Siphoviridae
MGV-GENOME-0278770_21, VPC-787, Siphoviridae
MGV-GENOME-0232377_43, VPC-358, Siphoviridae
MGV-GENOME-0326997_41, VPC-744, NULL
MGV-GENOME-0289553_41, VPC-5885, NULL
MGV-GENOME-0284710_40, VPC-358, Siphoviridae
MGV-GENOME-0288048_21, VPC-9, Siphoviridae
MGV-GENOME-0370258_21, VPC-484, NULL
MGV-GENOME-0263520_32, VPC-287, NULL
MGV-GENOME-4413521_21, VPC-27, Myoviridae
MGV-GENOME-0238590_7, VPC-283, Siphoviridae
MGV-GENOME-0299383_19, VPC-152, NULL
MGV-GENOME-0176317_19, VPC-8, Siphoviridae
MGV-GENOME-0293952_34, VPC-27, Myoviridae
MGV-GENOME-0327069_41, VPC-152, NULL
MGV-GENOME-0207025_32, VPC-358, Siphoviridae
MGV-GENOME-0198702_5, VPC-1219, Siphoviridae
MGV-GENOME-0186646_6, VPC-562, Myoviridae
MGV-GENOME-0216607_18, VPC-6766, Siphoviridae
MGV-GENOME-0345594_67, VPC-484, NULL
MGV-GENOME-0236282_34, VPC-8, Siphoviridae
MGV-GENOME-0178573_18, VPC-787, Siphoviridae
MGV-GENOME-0157570_23, VPC-1988, NULL
MGV-GENOME-0225692_4, VPC-1916, Siphoviridae
MGV-GENOME-0201044_5, VPC-27, Myoviridae
MGV-GENOME-0162846_22, VPC-307, Siphoviridae
MGV-GENOME-0253785_24, VPC-7295, Siphoviridae
MGV-GENOME-0313940_15, VPC-484, Myoviridae
MGV-GENOME-0317288_44, VPC-27, Myoviridae
MGV-GENOME-0194412_30, VPC-358, Siphoviridae
MGV-GENOME-0372561_118, VPC-1589, NULL
MGV-GENOME-0146065_12, VPC-153792, NULL
MGV-GENOME-0230468_27, VPC-8, Siphoviridae
MGV-GENOME-0342588_49, VPC-484, crAss-phage
MGV-GENOME-0301649_33, VPC-1718, Myoviridae
MGV-GENOME-0329923_36, VPC-9, NULL
MGV-GENOME-0234186_25, VPC-8, NULL
MGV-GENOME-0267267_24, VPC-27, Myoviridae
MGV-GENOME-0328849_3, VPC-9, Siphoviridae
MGV-GENOME-0338179_72, VPC-484, NULL
MGV-GENOME-0188904_20, VPC-1988, Siphoviridae
MGV-GENOME-0346921_52, VPC-1589, NULL
MGV-GENOME-0326166_32, VPC-885, Myoviridae
MGV-GENOME-0180532_23, VPC-33589, NULL
MGV-GENOME-0318113_70, VPC-744, crAss-phage
MGV-GENOME-0275671_21, VPC-69, Siphoviridae
MGV-GENOME-0311820_37, VPC-744, NULL
MGV-GENOME-0219423_29, VPC-152, NULL
MGV-GENOME-0154845_10, VPC-358, Siphoviridae
MGV-GENOME-0261265_21, VPC-1964, Myoviridae
MGV-GENOME-0336872_71, VPC-656, NULL
MGV-GENOME-0340833_24, VPC-502, NULL
MGV-GENOME-0318487_19, VPC-62598, Siphoviridae
MGV-GENOME-0260831_14, VPC-13307, Siphoviridae
MGV-GENOME-0291787_43, VPC-9, NULL
MGV-GENOME-0189369_1, VPC-157354, Siphoviridae
MGV-GENOME-0256222_38, VPC-4196, NULL
MGV-GENOME-0366229_166, VPC-5791, NULL
MGV-GENOME-0294756_32, VPC-562, NULL
MGV-GENOME-0171450_1, VPC-11010, Siphoviridae
MGV-GENOME-0301469_10, VPC-69, Siphoviridae
MGV-GENOME-0178360_8, VPC-23996, Siphoviridae
MGV-GENOME-0265112_37, VPC-307, Siphoviridae
MGV-GENOME-0276747_19, VPC-1219, Siphoviridae
MGV-GENOME-0152145_11, VPC-8, Siphoviridae
MGV-GENOME-0183671_7, VPC-307, NULL
MGV-GENOME-4401374_3, VPC-6766, NULL
MGV-GENOME-0336102_86, VPC-44077, Siphoviridae
MGV-GENOME-0201471_12, VPC-27, NULL
MGV-GENOME-0227449_45, VPC-358, Siphoviridae
MGV-GENOME-0340383_60, VPC-69, Siphoviridae
MGV-GENOME-0212396_7, VPC-3984, Siphoviridae
MGV-GENOME-0311319_41, VPC-885, Myoviridae
MGV-GENOME-0260171_32, VPC-287, NULL
MGV-GENOME-0214183_19, VPC-152, NULL
MGV-GENOME-0219456_30, VPC-27, Myoviridae
MGV-GENOME-0296425_31, VPC-562, NULL
MGV-GENOME-0222022_30, VPC-3454, Myoviridae
MGV-GENOME-0244433_9, VPC-1916, NULL
MGV-GENOME-0240392_4, VPC-3984, NULL
MGV-GENOME-0260884_30, VPC-287, NULL
MGV-GENOME-0201004_28, VPC-1988, Siphoviridae
MGV-GENOME-0125413_17, VPC-307, Siphoviridae
MGV-GENOME-0270011_21, VPC-358, NULL
MGV-GENOME-0275438_67, VPC-358, Siphoviridae
MGV-GENOME-0219024_6, VPC-885, Myoviridae
MGV-GENOME-0269503_36, VPC-358, Siphoviridae
MGV-GENOME-4349393_11, VPC-2755, Siphoviridae
MGV-GENOME-0345192_25, VPC-484, NULL
MGV-GENOME-0316279_40, VPC-152, NULL
MGV-GENOME-0243823_29, VPC-8, Siphoviridae
MGV-GENOME-0282618_64, VPC-9, Siphoviridae
MGV-GENOME-0327900_34, VPC-152, NULL
MGV-GENOME-0352717_76, VPC-9, NULL
MGV-GENOME-0366883_101, VPC-3444, NULL
MGV-GENOME-0306220_60, VPC-9, NULL
MGV-GENOME-0341536_21, VPC-1988, Siphoviridae
MGV-GENOME-0267971_29, VPC-1988, Siphoviridae
MGV-GENOME-0115525_16, VPC-1387, Siphoviridae
MGV-GENOME-0314748_23, VPC-287, NULL
MGV-GENOME-0240587_19, VPC-6045, Siphoviridae
MGV-GENOME-0239633_26, VPC-656, NULL
MGV-GENOME-0304632_38, VPC-27, NULL
MGV-GENOME-0205226_25, VPC-656, NULL
MGV-GENOME-0324103_40, VPC-152, NULL
MGV-GENOME-0277412_37, VPC-744, Siphoviridae
MGV-GENOME-0187903_24, VPC-8, Siphoviridae
MGV-GENOME-0275470_49, VPC-502, NULL
MGV-GENOME-0331425_29, VPC-9, Siphoviridae
MGV-GENOME-0226461_12, VPC-9, NULL
MGV-GENOME-0229702_23, VPC-9, NULL
MGV-GENOME-0352230_45, VPC-484, NULL
MGV-GENOME-0267907_19, VPC-1387, Siphoviridae
MGV-GENOME-0133445_24, VPC-8, Siphoviridae
MGV-GENOME-0177710_26, VPC-27, Myoviridae
MGV-GENOME-0190736_3, VPC-1718, Myoviridae
MGV-GENOME-0308535_54, VPC-562, NULL
MGV-GENOME-0225188_4, VPC-787, Siphoviridae
MGV-GENOME-0359133_39, VPC-5791, NULL
MGV-GENOME-0266438_45, VPC-2734, NULL
MGV-GENOME-0244544_34, VPC-885, Myoviridae
MGV-GENOME-0323658_54, VPC-9, Siphoviridae
MGV-GENOME-0222762_31, VPC-27, NULL
MGV-GENOME-4392162_3, VPC-4591, NULL
MGV-GENOME-0226605_21, VPC-8, Siphoviridae
MGV-GENOME-0208257_12, VPC-27, Myoviridae
MGV-GENOME-0178779_29, VPC-8, Siphoviridae
MGV-GENOME-0236300_39, VPC-283, Siphoviridae
MGV-GENOME-0143643_28, VPC-502, Myoviridae
MGV-GENOME-0292209_40, VPC-885, Myoviridae
MGV-GENOME-0248884_34, VPC-7295, Siphoviridae
MGV-GENOME-0246028_22, VPC-2734, Siphoviridae
MGV-GENOME-0337158_52, VPC-4196, NULL
MGV-GENOME-0252845_24, VPC-287, NULL
MGV-GENOME-0297581_35, VPC-307, Siphoviridae
MGV-GENOME-0225974_3, VPC-8, NULL
MGV-GENOME-0149169_21, VPC-1387, Siphoviridae
MGV-GENOME-0303242_47, VPC-268, Siphoviridae
MGV-GENOME-0195064_4, VPC-885, Myoviridae
MGV-GENOME-0194085_11, VPC-20054, Siphoviridae
MGV-GENOME-0342768_26, VPC-152, NULL
MGV-GENOME-0236995_29, VPC-3984, NULL
MGV-GENOME-0312712_13, VPC-69, Siphoviridae
MGV-GENOME-0241131_25, VPC-8, NULL
MGV-GENOME-0145306_26, VPC-287, Siphoviridae
MGV-GENOME-0349072_43, VPC-1589, NULL
MGV-GENOME-0322860_16, VPC-9, NULL
MGV-GENOME-0190788_29, VPC-287, Siphoviridae
MGV-GENOME-0309055_30, VPC-27, Myoviridae
MGV-GENOME-0227801_22, VPC-268, Siphoviridae
MGV-GENOME-0290904_30, VPC-562, NULL
MGV-GENOME-0286187_39, VPC-484, NULL
MGV-GENOME-0118308_3, VPC-283, Siphoviridae
MGV-GENOME-0327077_86, VPC-9, NULL
MGV-GENOME-0345337_4, VPC-9, NULL
MGV-GENOME-0288557_35, VPC-713, Siphoviridae
MGV-GENOME-4399480_15, VPC-1387, Siphoviridae
MGV-GENOME-0250172_45, VPC-1219, Siphoviridae
MGV-GENOME-0219984_5, VPC-268, NULL
MGV-GENOME-0173287_27, VPC-787, Siphoviridae
MGV-GENOME-0301758_48, VPC-27, Myoviridae
MGV-GENOME-0320851_33, VPC-27, Myoviridae
MGV-GENOME-0250659_14, VPC-1589, Siphoviridae
MGV-GENOME-0311228_29, VPC-268, NULL
MGV-GENOME-0239933_43, VPC-7708, Siphoviridae
MGV-GENOME-0278758_43, VPC-358, Siphoviridae
MGV-GENOME-0287957_28, VPC-562, NULL
MGV-GENOME-0232432_27, VPC-8, NULL
MGV-GENOME-0343263_80, VPC-484, NULL
MGV-GENOME-0202751_18, VPC-358, NULL
MGV-GENOME-0180112_5, VPC-9, NULL
MGV-GENOME-0191891_5, VPC-8327, Siphoviridae
MGV-GENOME-0143914_6, VPC-283, Siphoviridae
MGV-GENOME-0222741_22, VPC-8, NULL
MGV-GENOME-0319085_34, VPC-1718, Myoviridae
MGV-GENOME-0242870_28, VPC-787, Siphoviridae
MGV-GENOME-0249196_47, VPC-287, NULL
MGV-GENOME-0217281_3, VPC-8, Siphoviridae
MGV-GENOME-0313426_34, VPC-27, Myoviridae
MGV-GENOME-0337833_24, VPC-69, Siphoviridae
MGV-GENOME-0359142_113, VPC-152, NULL
MGV-GENOME-0236273_35, VPC-287, NULL
MGV-GENOME-0150613_13, VPC-283, Siphoviridae
MGV-GENOME-0287894_22, VPC-152, NULL
MGV-GENOME-0320118_51, VPC-69, Siphoviridae
